Id,Date de relance,Statut,Commentaire relance,Type de relance,Client
16,31/7/2026 00:00,Répondu,Client a confirmé la réception du devis et donné son accord.,Email,Entreprise BetaTech
17,28/8/2026 00:00,En attente,Relance prévue pour obtenir une réponse sur le devis envoyé.,Email,Entreprise AlphaCom
18,2/8/2026 00:00,À faire,Relance à effectuer pour compléter la qualification du dossier.,Téléphone,Agence Voyages Soleil
19,14/9/2026 00:00,Sans réponse,"Client n’a pas donné suite après relance, dossier à surveiller.",Téléphone,Agence Horizon
20,20/7/2026 00:00,Relancé,"Relance effectuée, attente de retour du client.",Téléphone,École Paul Langevin
21,22/7/2026 00:00,En attente,Dossier transmis à un responsable pour gestion spécifique.,Téléphone,Club Loisirs Strasbourg
22,17/9/2026 00:00,À faire,Première relance à prévoir pour obtenir des informations complémentaires.,Email,Collège Victor Hugo
23,30/7/2026 00:00,En attente,Relance prévue pour suivi du devis envoyé.,Réseaux Sociaux,Association Cyclo Sud
24,7/8/2026 00:00,À faire,Relance à effectuer auprès de l’association pour confirmation.,Email,Association Sportive Lyon
25,17/8/2026 00:00,Relancé,"Relance téléphonique réalisée, décision attendue sous peu.",Téléphone,Collectivité Grand Est
26,12/9/2026 00:00,En attente,Relance programmée pour obtenir la validation du club.,Email,Club Loisirs Paris
27,22/8/2026 00:00,À faire,Relance à effectuer auprès de l’agence pour retour sur devis.,Email,Agence GlobeTrotter
28,24/7/2026 00:00,À faire,Relance à prévoir pour finaliser la demande de l’entreprise.,Téléphone,Entreprise TechInnov
29,14/8/2026 00:00,Répondu,"Client a répondu positivement à la relance, organisation en cours.",Email,École Sainte-Marie
30,24/8/2026 00:00,Répondu,Client a confirmé la réservation après relance.,Email,École Jules Ferry
41,30/6/2026 22:00,À faire,Reance automatique J+2 après génération du devis,,
42,30/6/2026 22:00,À faire,Reance automatique J+2 après génération du devis,,
43,30/6/2026 22:00,À faire,Relance automatique J+2 après génération du devis,,
44,30/6/2026 22:00,À faire,Relance automatique J+2 après génération du devis,,
45,30/6/2026 22:00,À faire,Relance automatique J+2 après génération du devis,,
46,30/6/2026 22:00,À faire,Relance automatique J+2 après génération du devis,,
47,30/6/2026 22:00,À faire,Relance automatique J+2 après génération du devis,,
48,30/6/2026 22:00,À faire,Relance automatique J+2 après génération du devis,,
49,30/6/2026 22:00,À faire,Relance automatique J+2 après génération du devis,,
50,30/6/2026 22:00,À faire,Relance automatique J+2 après génération du devis,,
51,30/6/2026 22:00,À faire,Relance automatique J+2 après génération du devis,,
52,30/6/2026 22:00,À faire,Relance automatique J+2 après génération du devis,,
53,30/6/2026 22:00,À faire,Relance automatique J+2 après génération du devis,,
54,30/6/2026 22:00,À faire,Relance automatique J+2 après génération du devis,,
55,30/6/2026 22:00,À faire,Relance automatique J+2 après génération du devis,,
56,30/6/2026 22:00,À faire,Relance automatique J+2 après génération du devis,,
57,30/6/2026 22:00,À faire,Relance automatique J+2 après génération du devis,,
