Id,Prix,Date de création,PDF,Statut Devis,Tarif calculé (AI),Client,Montant TTC,Lien PDF
17,3200,20/6/2026,,Accepté,,Entreprise BetaTech,,
18,6100,18/6/2026,,Devis envoyé,,Entreprise AlphaCom,,
19,2950,10/6/2026,,Qualification en cours,,Agence Voyages Soleil,,
20,1800,25/6/2026,,Refusé,,Agence Horizon,,
21,2100,5/6/2026,,Relance 1,,École Paul Langevin,,
22,1200,7/6/2026,,Escalade Humaine,,Club Loisirs Strasbourg,,
23,2600,15/6/2026,,Nouvelle,,Collège Victor Hugo,,
24,1450,12/6/2026,,Devis envoyé,,Association Cyclo Sud,,
25,4100,22/6/2026,,Nouvelle,,Association Sportive Lyon,,
26,3700,19/6/2026,,Relance 1,,Collectivité Grand Est,,
27,1550,21/6/2026,,Devis envoyé,,Club Loisirs Paris,,
28,5400,23/6/2026,,Devis envoyé,,Agence GlobeTrotter,,
29,2300,11/6/2026,,Nouvelle,,Entreprise TechInnov,,
30,4800,14/6/2026,,Qualifié,,École Sainte-Marie,,
31,5100,16/6/2026,,Accepté,,École Jules Ferry,,
32,600,13/6/2026,,Qualifié,,Mairie de Lille,,
33,3400,9/6/2026,,Qualification en cours,,Club Loisirs Bordeaux,,
34,2200,24/6/2026,,Accepté,,Association Danse Passion,,
35,3900,8/6/2026,,Nouvelle,,École Jean Moulin,,
36,2750,17/6/2026,,Qualifié,,Entreprise GreenLog,,
48,,29/6/2026,,,,,"EUR2004,00",https://pub-cdn.apitemplate.io/2026/06/d35e0837-c70a-41f9-84e7-6b1861e84f31.pdf
49,,29/6/2026,,,,,"EUR2004,00",https://pub-cdn.apitemplate.io/2026/06/4df9af2e-9b33-42ce-8ac2-d162c49acbeb.pdf
50,,29/6/2026,,,,,"EUR2004,00",https://pub-cdn.apitemplate.io/2026/06/73afa38e-108d-4ca4-9621-b05564a3e828.pdf
51,,29/6/2026,,,,,"EUR2004,00",https://pub-cdn.apitemplate.io/2026/06/44a347c8-3e07-470c-b610-a3b1af3bd397.pdf
52,,29/6/2026,,,,,"EUR2004,00",https://pub-cdn.apitemplate.io/2026/06/07e49dbc-e258-4580-a5bd-7b7eea58c6d6.pdf
53,,29/6/2026,,,,,"EUR2783,00",https://pub-cdn.apitemplate.io/2026/06/3caa4b2b-a6e2-4e38-b0cf-4aacfb0d2269.pdf
54,,29/6/2026,,,,,"EUR2783,00",https://pub-cdn.apitemplate.io/2026/06/ab688684-723d-4692-8af5-ecd1bc7b0bfd.pdf
55,,29/6/2026,,,,,"EUR2910,00",https://pub-cdn.apitemplate.io/2026/06/596efa98-f71e-4552-9926-0854b906830b.pdf
56,,29/6/2026,,,,,"EUR727,00",https://pub-cdn.apitemplate.io/2026/06/5ed2c1f6-b308-4492-9aa4-8de8deeb9763.pdf
57,,29/6/2026,,,,,"EUR727,00",https://pub-cdn.apitemplate.io/2026/06/28531312-0fb2-450f-ae09-c1fe3706d21f.pdf
58,,29/6/2026,,,,,"EUR2004,00",https://pub-cdn.apitemplate.io/2026/06/763c6a4e-5923-4f06-81dd-8e5c28848b2a.pdf
59,,29/6/2026,,,,,"EUR1016,00",https://pub-cdn.apitemplate.io/2026/06/22b2b68a-c6d2-49c9-8e2c-c4425d7b13c2.pdf
60,,29/6/2026,,,,,"EUR2732,00",https://pub-cdn.apitemplate.io/2026/06/ffac8e58-e54b-4259-a5d3-3e080aa35ed1.pdf
61,,29/6/2026,,,,,"EUR2657,00",
