Nom,Email,Téléphone,Destination,Date de départ,Nombre de passagers,Statut,Source Demande,Historique des interactions,Notes internes,Devis,Relances
École Jean Moulin,contact@ecolejeanmoulin.fr,+33123456789,Paris,2026-07-10,45,Nouvelle,Site Web,Demande reçue via le site web. Premier contact établi.,"Client institutionnel, prévoir devis détaillé.",35,
Association Sportive Lyon,aslyon@gmail.com,+33456781234,Lyon,2026-08-05,60,Nouvelle,Email,Demande envoyée par email. En attente de précisions sur l’itinéraire.,"Groupe sportif, vérifier besoins spécifiques pour matériel.",25,24
Entreprise TechInnov,contact@techinnov.com,+33198765432,Marseille,2026-07-22,35,Nouvelle,Téléphone,Appel téléphonique reçu. Informations de base collectées.,"Client entreprise, proposer options premium.",29,28
Collège Victor Hugo,secretariat@cvhugo.fr,+33234567890,Strasbourg,2026-09-15,50,Nouvelle,Site Web,Formulaire rempli sur le site. Relance prévue sous 48h.,"Voyage scolaire, attention à la sécurité.",23,22
Agence Voyages Soleil,contact@voyagessoleil.fr,+33512345678,Nice,2026-07-30,80,Qualification en cours,Réseaux Sociaux,Premier échange via Facebook. Demande de précisions sur le programme.,"Agence partenaire, conditions spéciales à vérifier.",19,18
Club Loisirs Bordeaux,clubloisirsbdx@gmail.com,+33587654321,Bordeaux,2026-08-18,28,Qualification en cours,Appel téléphonique,"Appel reçu, informations complémentaires demandées au client.","Club loisirs, vérifier accessibilité PMR.",33,
Mairie de Lille,contact@mairie-lille.fr,+33312349876,Lille,2026-07-25,70,Qualifié,Site Web,"Demande validée, attente de validation interne.","Collectivité, prévoir facture sur mandat administratif.",32,
École Sainte-Marie,contact@ecole-stemarie.fr,+33298761234,Toulouse,2026-08-12,55,Qualifié,Email,"Informations complètes reçues, devis en préparation.","Voyage scolaire, prévoir encadrement supplémentaire.",30,29
Entreprise GreenLog,contact@greenlog.fr,+33123459876,Paris,2026-09-02,40,Qualifié,Téléphone,"Client intéressé, attente de validation du service achats.","Entreprise, possibilité de partenariat long terme.",36,
Association Cyclo Sud,cyclosud@gmail.com,+33456782345,Marseille,2026-07-28,25,Devis envoyé,Site Web,"Devis envoyé par email, relance prévue sous 5 jours.","Groupe cycliste, prévoir remorque vélo.",24,23
Agence GlobeTrotter,contact@globetrotter.fr,+33523456789,Strasbourg,2026-08-20,65,Devis envoyé,Email,"Devis transmis, en attente de retour du client.","Agence de voyage, tarif négocié appliqué.",28,27
Club Loisirs Paris,clubloisirsparis@gmail.com,+33187654321,Paris,2026-09-10,30,Devis envoyé,Réseaux Sociaux,"Devis envoyé via Messenger, suivi à effectuer.","Club loisirs, demande d’options repas.",27,26
Entreprise AlphaCom,contact@alphacom.fr,+33123456780,Lyon,2026-08-25,85,Devis envoyé,Téléphone,"Devis envoyé, client souhaite comparer plusieurs offres.","Entreprise, possibilité de services complémentaires.",18,17
École Paul Langevin,contact@ecoleplangevin.fr,+33234561234,Bordeaux,2026-07-18,48,Relance 1,Site Web,"Relance effectuée, client hésitant sur la date.","Voyage scolaire, flexibilité sur les dates à proposer.",21,20
Collectivité Grand Est,contact@grandest.fr,+33398765432,Strasbourg,2026-08-15,75,Relance 1,Appel téléphonique,"Relance téléphonique, décision attendue sous 10 jours.","Projet institutionnel, prévoir conditions administratives.",26,25
Association Danse Passion,dansepassion@gmail.com,+33456781235,Nice,2026-09-05,32,Accepté,Email,"Client a accepté le devis, organisation du trajet en cours.","Association, prévoir contrat de prestation.",34,
Entreprise BetaTech,contact@betatech.com,+33123456781,Lille,2026-07-29,55,Accepté,Site Web,"Devis accepté, préparation de la facture.","Entreprise, prévoir facturation mensuelle si récurrent.",17,16
École Jules Ferry,contact@ecolejulesferry.fr,+33234567891,Toulouse,2026-08-22,60,Accepté,Réseaux Sociaux,"Devis accepté, documents administratifs en cours de signature.","Voyage scolaire, vérifier autorisations parentales.",31,30
Agence Horizon,contact@horizon.fr,+33512349876,Marseille,2026-09-12,38,Refusé,Email,"Client a refusé le devis, motif : budget insuffisant.","Agence de voyage, proposer alternatives économiques.",20,19
Club Loisirs Strasbourg,clubloisirsstrasbourg@gmail.com,+33387654321,Strasbourg,2026-07-20,22,Escalade Humaine,Téléphone,"Problème complexe, dossier transmis à un responsable.","Club loisirs, gestion de litige en cours.",22,21
